finding_id,audit_id,severity,category,iosa_discipline_code,standard_ref,description,risk_index,date_raised,date_closed,due_date,status,repeat_flag,root_cause,responsible_owner,probability_score,closed_on_time
301,20,High,Equipment,CAB,CAB 3.2.8,Synthetic finding 301 in equipment category.,16,2024-01-29,2024-04-06,2024-04-14,Closed,False,Procedure not followed,Owner 10,4,True
302,20,Low,Human Factors,ORG,ORG 1.6.2,Synthetic finding 302 in human factors category.,2,2024-01-29,2024-03-28,2024-03-20,Closed,False,Resource limitation,Owner 13,2,False
303,21,Medium,Equipment,ORG,ORG 1.2.2,Synthetic finding 303 in equipment category.,8,2023-12-19,2024-02-02,2024-03-16,Closed,False,Procedure not followed,Owner 05,4,True
304,21,Low,Human Factors,ORG,ORG 1.7.8,Synthetic finding 304 in human factors category.,2,2023-12-22,,2024-02-19,Overdue,False,Documentation gap,Owner 08,2,False
305,21,Low,Training,ORG,ORG 2.5.3,Synthetic finding 305 in training category.,2,2023-12-27,2024-02-13,2024-03-18,Closed,False,Training gap,Owner 02,2,True
306,21,Medium,Training,DSP,DSP 4.3.14,Synthetic finding 306 in training category.,8,2023-12-22,2024-02-03,2024-02-18,Closed,False,Procedure not followed,Owner 14,4,True
307,21,High,Facilities,FLT,FLT 3.11.8A,Synthetic finding 307 in facilities category.,12,2023-12-26,2024-02-15,2024-01-29,Closed,True,Documentation gap,Owner 12,3,False
308,21,Low,Facilities,ORG,ORG 1.7.11,Synthetic finding 308 in facilities category.,2,2023-12-15,2024-01-15,2024-02-21,Closed,False,Training gap,Owner 06,2,True
309,21,High,Equipment,ORG,ORG 1.7.9,Synthetic finding 309 in equipment category.,20,2023-12-24,2024-02-17,2024-03-18,Closed,False,Resource limitation,Owner 09,5,True
310,21,Medium,Training,FLT,FLT 1.5.4,Synthetic finding 310 in training category.,8,2023-12-25,2024-02-08,2024-02-17,Closed,False,Documentation gap,Owner 10,4,True
311,21,High,Human Factors,DSP,DSP 4.1.5,Synthetic finding 311 in human factors category.,20,2023-12-19,2024-01-17,2024-02-03,Closed,True,Procedure not followed,Owner 07,5,True
312,21,Low,Training,FLT,FLT 1.2.1,Synthetic finding 312 in training category.,5,2023-12-18,2024-01-31,2024-03-16,Closed,False,Training gap,Owner 18,5,True
313,21,High,Equipment,ORG,ORG 3.1.4,Synthetic finding 313 in equipment category.,16,2023-12-14,,2024-01-17,Overdue,True,Resource limitation,Owner 15,4,False
314,21,Low,Equipment,FLT,FLT 3.13.12,Synthetic finding 314 in equipment category.,4,2023-12-13,2024-01-26,2024-02-25,Closed,False,Procedure not followed,Owner 15,4,True
315,21,Low,Facilities,FLT,FLT 1.3.7,Synthetic finding 315 in facilities category.,4,2023-12-14,,2024-02-08,Overdue,True,Documentation gap,Owner 08,4,False
316,21,Medium,Equipment,ORG,ORG 2.4.4,Synthetic finding 316 in equipment category.,6,2023-12-24,2024-02-06,2024-03-19,Closed,True,Documentation gap,Owner 14,3,True
317,21,Medium,Facilities,DSP,DSP 4.5.3,Synthetic finding 317 in facilities category.,10,2023-12-18,2024-01-28,2024-02-11,Closed,False,Resource limitation,Owner 12,5,True
318,21,Medium,Operations,DSP,DSP 3.7.2,Synthetic finding 318 in operations category.,6,2023-12-21,2024-02-07,2024-02-04,Closed,False,Documentation gap,Owner 11,3,False
319,21,Low,Facilities,ORG,ORG 2.1.1,Synthetic finding 319 in facilities category.,5,2023-12-14,2024-02-21,2024-01-18,Closed,False,Resource limitation,Owner 04,5,False
320,21,Low,Operations,FLT,FLT 1.4.1,Synthetic finding 320 in operations category.,3,2023-12-18,2024-02-19,2024-02-08,Closed,False,Procedure not followed,Owner 20,3,False
321,22,Low,Equipment,ORG,ORG 1.2.1,Synthetic finding 321 in equipment category.,2,2023-01-17,2023-03-09,2023-03-11,Closed,False,Procedure not followed,Owner 10,2,True
322,22,High,Facilities,ORG,ORG 1.3.2,Synthetic finding 322 in facilities category.,20,2023-01-21,2023-03-11,2023-02-28,Closed,False,Resource limitation,Owner 06,5,False
323,22,Medium,Documentation,ORG,ORG 4.3.2,Synthetic finding 323 in documentation category.,2,2023-01-14,2023-02-05,2023-03-13,Closed,False,Documentation gap,Owner 13,1,True
324,22,High,Documentation,ORG,ORG 2.5.1,Synthetic finding 324 in documentation category.,16,2023-01-18,2023-02-21,2023-03-04,Closed,False,Process design,Owner 18,4,True
325,22,Medium,Operations,ORG,ORG 1.5.5,Synthetic finding 325 in operations category.,8,2023-01-11,2023-02-20,2023-03-10,Closed,False,Training gap,Owner 20,4,True
326,23,Low,Facilities,DSP,DSP 1.6.4,Synthetic finding 326 in facilities category.,1,2021-06-03,,2021-08-28,Overdue,False,Procedure not followed,Owner 05,1,False
327,23,Medium,Human Factors,FLT,FLT 3.11.30,Synthetic finding 327 in human factors category.,2,2021-06-03,2021-06-30,2021-08-28,Closed,False,Documentation gap,Owner 14,1,True
328,23,Low,Training,ORG,ORG 3.4.1,Synthetic finding 328 in training category.,3,2021-06-05,2021-07-26,2021-08-24,Closed,False,Resource limitation,Owner 07,3,True
329,23,Low,Training,FLT,FLT 3.14.2,Synthetic finding 329 in training category.,5,2021-06-12,2021-08-22,2021-09-03,Closed,False,Training gap,Owner 17,5,True
330,23,Medium,Facilities,FLT,FLT 1.7.4,Synthetic finding 330 in facilities category.,8,2021-06-03,2021-07-06,2021-08-03,Closed,False,Documentation gap,Owner 04,4,True
331,23,Critical,Training,ORG,ORG 1.7.2,Synthetic finding 331 in training category.,15,2021-06-13,,2021-08-31,Overdue,False,Procedure not followed,Owner 03,3,False
332,23,High,Equipment,ORG,ORG 2.4.1,Synthetic finding 332 in equipment category.,16,2021-06-14,2021-07-19,2021-07-29,Closed,False,Training gap,Owner 02,4,True
333,23,Low,Equipment,DSP,DSP 4.3.1,Synthetic finding 333 in equipment category.,4,2021-06-13,2021-09-01,2021-08-03,Closed,False,Procedure not followed,Owner 06,4,False
334,23,Medium,Training,ORG,ORG 1.2.1,Synthetic finding 334 in training category.,10,2021-06-03,2021-08-27,2021-08-18,Closed,False,Resource limitation,Owner 19,5,False
335,24,Low,Training,ORG,ORG 1.7.1,Synthetic finding 335 in training category.,3,2024-02-05,2024-03-15,2024-04-14,Closed,False,Training gap,Owner 06,3,True
336,24,High,Operations,ORG,ORG 3.3.3,Synthetic finding 336 in operations category.,16,2024-02-04,2024-03-30,2024-04-15,Closed,False,Training gap,Owner 13,4,True
337,24,Low,Training,ORG,ORG 1.3.1,Synthetic finding 337 in training category.,4,2024-02-10,2024-02-25,2024-03-22,Closed,False,Documentation gap,Owner 15,4,True
338,24,High,Human Factors,ORG,ORG 1.4.1,Synthetic finding 338 in human factors category.,12,2024-01-29,,2024-04-06,Overdue,False,Training gap,Owner 20,3,False
339,24,Low,Facilities,ORG,ORG 1.7.7,Synthetic finding 339 in facilities category.,4,2024-02-02,2024-03-11,2024-05-01,Closed,False,Documentation gap,Owner 18,4,True
340,24,High,Operations,ORG,ORG 3.2.2,Synthetic finding 340 in operations category.,12,2024-01-30,2024-04-10,2024-04-08,Closed,False,Training gap,Owner 02,3,False
341,24,Medium,Documentation,ORG,ORG 2.2.4,Synthetic finding 341 in documentation category.,8,2024-02-07,2024-03-24,2024-04-20,Closed,False,Training gap,Owner 10,4,True
342,24,Low,Documentation,ORG,ORG 1.5.5,Synthetic finding 342 in documentation category.,3,2024-01-29,2024-03-17,2024-04-27,Closed,False,Process design,Owner 10,3,True
343,24,High,Operations,ORG,ORG 1.2.1,Synthetic finding 343 in operations category.,16,2024-02-05,2024-03-31,2024-03-06,Closed,False,Procedure not followed,Owner 11,4,False
344,24,Medium,Facilities,ORG,ORG 1.7.10,Synthetic finding 344 in facilities category.,6,2024-01-31,2024-03-20,2024-04-06,Closed,False,Procedure not followed,Owner 17,3,True
345,24,Medium,Documentation,ORG,ORG 2.4.1,Synthetic finding 345 in documentation category.,2,2024-02-05,2024-04-10,2024-04-25,Closed,False,Training gap,Owner 20,1,True
346,24,High,Documentation,ORG,ORG 2.3.1,Synthetic finding 346 in documentation category.,16,2024-02-03,,2024-03-30,Overdue,False,Documentation gap,Owner 15,4,False
347,24,Medium,Human Factors,ORG,ORG 1.5.7,Synthetic finding 347 in human factors category.,6,2024-02-05,2024-03-03,2024-04-22,Closed,False,Training gap,Owner 05,3,True
348,24,Medium,Documentation,ORG,ORG 1.7.3,Synthetic finding 348 in documentation category.,6,2024-02-10,2024-03-21,2024-04-14,Closed,False,Training gap,Owner 06,3,True
349,24,High,Equipment,ORG,ORG 1.4.2,Synthetic finding 349 in equipment category.,12,2024-02-09,2024-02-28,2024-04-20,Closed,False,Documentation gap,Owner 12,3,True
350,24,Low,Documentation,ORG,ORG 3.3.5,Synthetic finding 350 in documentation category.,4,2024-02-07,2024-03-26,2024-03-10,Closed,False,Resource limitation,Owner 11,4,False
351,24,Low,Facilities,ORG,ORG 2.4.1,Synthetic finding 351 in facilities category.,5,2024-02-08,2024-03-07,2024-04-09,Closed,False,Resource limitation,Owner 14,5,True
352,24,High,Facilities,ORG,ORG 3.1.5,Synthetic finding 352 in facilities category.,12,2024-02-10,2024-04-13,2024-04-25,Closed,False,Documentation gap,Owner 15,3,True
353,24,Low,Human Factors,ORG,ORG 1.5.3,Synthetic finding 353 in human factors category.,4,2024-01-31,2024-03-23,2024-03-26,Closed,False,Training gap,Owner 10,4,True
354,24,Medium,Documentation,ORG,ORG 1.5.2,Synthetic finding 354 in documentation category.,10,2024-01-31,2024-03-07,2024-03-11,Closed,True,Procedure not followed,Owner 08,5,True
355,24,Medium,Human Factors,ORG,ORG 2.1.6,Synthetic finding 355 in human factors category.,8,2024-02-02,2024-03-23,2024-04-27,Closed,True,Resource limitation,Owner 16,4,True
356,24,High,Facilities,ORG,ORG 1.5.1,Synthetic finding 356 in facilities category.,16,2024-02-10,2024-02-27,2024-03-24,Closed,False,Documentation gap,Owner 18,4,True
357,25,Medium,Human Factors,SEC,SEC 2.1.2,Synthetic finding 357 in human factors category.,2,2023-08-19,2023-09-19,2023-11-17,Closed,False,Procedure not followed,Owner 08,1,True
358,25,Low,Human Factors,ORG,ORG 3.4.1,Synthetic finding 358 in human factors category.,1,2023-08-24,2023-10-09,2023-09-24,Closed,False,Procedure not followed,Owner 06,1,False
359,25,Medium,Documentation,SEC,SEC 3.7.1,Synthetic finding 359 in documentation category.,6,2023-08-24,2023-10-30,2023-11-13,Closed,False,Procedure not followed,Owner 16,3,True
360,25,Medium,Training,SEC,SEC 1.8.2,Synthetic finding 360 in training category.,6,2023-08-25,,2023-11-16,Overdue,False,Process design,Owner 15,3,False
361,25,Medium,Documentation,SEC,SEC 2.1.4,Synthetic finding 361 in documentation category.,10,2023-08-25,2023-10-08,2023-10-22,Closed,False,Procedure not followed,Owner 06,5,True
362,26,Medium,Operations,FLT,FLT 3.6.3,Synthetic finding 362 in operations category.,6,2021-05-05,2021-06-16,2021-06-28,Closed,False,Training gap,Owner 16,3,True
363,26,Medium,Operations,DSP,DSP 3.4.1,Synthetic finding 363 in operations category.,8,2021-05-02,2021-06-27,2021-07-25,Closed,False,Resource limitation,Owner 12,4,True
364,26,Low,Training,FLT,FLT 2.2.11,Synthetic finding 364 in training category.,4,2021-05-04,2021-08-17,2021-06-29,Closed,True,Resource limitation,Owner 10,4,False
365,26,Medium,Training,ORG,ORG 2.5.1,Synthetic finding 365 in training category.,4,2021-05-02,2021-07-19,2021-06-13,Closed,False,Training gap,Owner 18,2,False
366,26,Low,Documentation,ORG,ORG 3.3.5,Synthetic finding 366 in documentation category.,4,2021-05-05,2021-07-26,2021-06-12,Closed,False,Documentation gap,Owner 18,4,False
367,26,Medium,Equipment,DSP,DSP 4.3.9,Synthetic finding 367 in equipment category.,6,2021-04-29,2021-05-24,2021-06-28,Closed,False,Procedure not followed,Owner 17,3,True
368,27,Medium,Operations,ORG,ORG 2.4.3,Synthetic finding 368 in operations category.,2,2021-04-08,,2021-06-03,Overdue,False,Training gap,Owner 17,1,False
369,27,Medium,Equipment,CGO,CGO 3.2.6,Synthetic finding 369 in equipment category.,4,2021-04-11,2021-07-13,2021-05-22,Closed,False,Procedure not followed,Owner 03,2,False
370,27,High,Human Factors,ORG,ORG 2.4.3,Synthetic finding 370 in human factors category.,16,2021-04-11,2021-07-05,2021-06-24,Closed,False,Process design,Owner 16,4,False
371,27,Medium,Training,CGO,CGO 2.2.5,Synthetic finding 371 in training category.,2,2021-04-07,2021-05-25,2021-07-05,Closed,False,Documentation gap,Owner 16,1,True
372,27,Medium,Human Factors,ORG,ORG 2.2.3,Synthetic finding 372 in human factors category.,8,2021-04-20,2021-07-19,2021-06-02,Closed,True,Process design,Owner 18,4,False
373,27,Low,Facilities,CGO,CGO 1.6.2,Synthetic finding 373 in facilities category.,4,2021-04-09,2021-06-11,2021-05-16,Closed,True,Training gap,Owner 17,4,False
374,27,Critical,Training,ORG,ORG 1.1.4,Synthetic finding 374 in training category.,20,2021-04-15,2021-06-16,2021-06-04,Closed,False,Procedure not followed,Owner 19,4,False
375,27,Medium,Equipment,CGO,CGO 1.3.1,Synthetic finding 375 in equipment category.,2,2021-04-18,2021-06-14,2021-06-09,Closed,False,Process design,Owner 19,1,False
376,28,Low,Equipment,ORG,ORG 2.1.2,Synthetic finding 376 in equipment category.,1,2022-02-02,2022-04-20,2022-03-27,Closed,False,Procedure not followed,Owner 15,1,False
377,28,Low,Facilities,ORG,ORG 3.5.1,Synthetic finding 377 in facilities category.,5,2022-02-04,2022-05-05,2022-04-14,Closed,False,Documentation gap,Owner 06,5,False
378,28,Medium,Human Factors,CAB,CAB 2.1.2,Synthetic finding 378 in human factors category.,8,2022-02-07,2022-03-28,2022-04-14,Closed,False,Procedure not followed,Owner 14,4,True
379,28,Medium,Human Factors,CAB,CAB 3.2.3,Synthetic finding 379 in human factors category.,2,2022-02-04,2022-03-29,2022-04-18,Closed,False,Procedure not followed,Owner 16,1,True
380,28,Low,Human Factors,ORG,ORG 4.3.2,Synthetic finding 380 in human factors category.,3,2022-02-03,2022-04-15,2022-04-15,Closed,False,Process design,Owner 02,3,True
381,29,Low,Training,CAB,CAB 3.2.5,Synthetic finding 381 in training category.,3,2021-04-28,2021-07-01,2021-07-18,Closed,False,Resource limitation,Owner 07,3,True
382,29,Low,Equipment,CAB,CAB 3.2.9,Synthetic finding 382 in equipment category.,4,2021-04-22,2021-07-23,2021-06-22,Closed,False,Procedure not followed,Owner 05,4,False
383,29,Low,Human Factors,ORG,ORG 1.5.6,Synthetic finding 383 in human factors category.,1,2021-04-28,,2021-06-08,Overdue,False,Training gap,Owner 02,1,False
384,29,Low,Documentation,ORG,ORG 1.7.10,Synthetic finding 384 in documentation category.,4,2021-04-22,2021-07-07,2021-06-20,Closed,True,Procedure not followed,Owner 12,4,False
385,29,Low,Training,ORG,ORG 2.6.2,Synthetic finding 385 in training category.,2,2021-04-22,2021-07-06,2021-06-30,Closed,False,Procedure not followed,Owner 12,2,False
386,29,Low,Human Factors,ORG,ORG 4.3.2,Synthetic finding 386 in human factors category.,1,2021-04-20,2021-07-06,2021-07-05,Closed,True,Process design,Owner 04,1,False
387,29,Low,Equipment,ORG,ORG 1.7.9,Synthetic finding 387 in equipment category.,2,2021-04-20,2021-05-25,2021-06-28,Closed,False,Training gap,Owner 10,2,True
388,29,Low,Equipment,ORG,ORG 2.5.3,Synthetic finding 388 in equipment category.,2,2021-04-27,2021-07-29,2021-05-30,Closed,True,Procedure not followed,Owner 08,2,False
389,29,Medium,Equipment,ORG,ORG 3.2.2,Synthetic finding 389 in equipment category.,4,2021-04-25,,2021-07-06,Overdue,False,Procedure not followed,Owner 07,2,False
390,30,Medium,Documentation,SEC,SEC 1.10.6,Synthetic finding 390 in documentation category.,6,2024-04-10,2024-06-04,2024-05-12,Closed,False,Procedure not followed,Owner 04,3,False
391,30,Low,Operations,ORG,ORG 2.1.6,Synthetic finding 391 in operations category.,3,2024-04-10,2024-05-06,2024-05-11,Closed,False,Procedure not followed,Owner 19,3,True
392,30,High,Operations,ORG,ORG 1.2.2,Synthetic finding 392 in operations category.,16,2024-04-13,2024-06-11,2024-05-29,Closed,True,Procedure not followed,Owner 03,4,False
393,30,Medium,Equipment,SEC,SEC 3.4.7,Synthetic finding 393 in equipment category.,10,2024-04-10,2024-05-24,2024-06-01,Closed,False,Process design,Owner 07,5,True
394,30,Medium,Training,ORG,ORG 2.2.1,Synthetic finding 394 in training category.,6,2024-04-10,2024-06-03,2024-05-18,Closed,False,Procedure not followed,Owner 01,3,False
395,30,Medium,Equipment,SEC,SEC 1.1.2,Synthetic finding 395 in equipment category.,10,2024-04-08,2024-05-06,2024-05-13,Closed,False,Process design,Owner 07,5,True
396,30,Medium,Equipment,SEC,SEC 1.11.3,Synthetic finding 396 in equipment category.,8,2024-04-09,,2024-07-04,Overdue,False,Training gap,Owner 14,4,False
397,30,Low,Documentation,ORG,ORG 2.4.4,Synthetic finding 397 in documentation category.,3,2024-04-13,2024-05-22,2024-06-30,Closed,False,Resource limitation,Owner 03,3,True
398,30,High,Facilities,ORG,ORG 1.4.1,Synthetic finding 398 in facilities category.,16,2024-04-08,2024-05-14,2024-06-19,Closed,False,Process design,Owner 14,4,True
399,30,Low,Human Factors,ORG,ORG 1.3.2,Synthetic finding 399 in human factors category.,5,2024-04-06,2024-05-12,2024-06-20,Closed,True,Documentation gap,Owner 08,5,True
400,30,Low,Training,SEC,SEC 1.12.2,Synthetic finding 400 in training category.,4,2024-04-11,2024-05-28,2024-05-31,Closed,False,Documentation gap,Owner 16,4,True
401,30,Medium,Human Factors,SEC,SEC 1.9.2,Synthetic finding 401 in human factors category.,2,2024-04-15,,2024-07-13,Overdue,False,Procedure not followed,Owner 12,1,False
402,30,Low,Facilities,ORG,ORG 1.1.3,Synthetic finding 402 in facilities category.,3,2024-04-10,2024-05-15,2024-05-15,Closed,True,Documentation gap,Owner 08,3,True
403,30,Medium,Facilities,ORG,ORG 4.3.1,Synthetic finding 403 in facilities category.,10,2024-04-14,2024-06-13,2024-07-05,Closed,False,Training gap,Owner 04,5,True
404,30,Low,Training,ORG,ORG 1.1.1,Synthetic finding 404 in training category.,3,2024-04-08,,2024-05-11,Overdue,False,Procedure not followed,Owner 09,3,False
405,30,Medium,Documentation,SEC,SEC 1.6.3,Synthetic finding 405 in documentation category.,2,2024-04-12,,2024-05-20,Overdue,False,Procedure not followed,Owner 06,1,False
406,30,High,Operations,ORG,ORG 1.5.7,Synthetic finding 406 in operations category.,12,2024-04-07,2024-05-31,2024-06-24,Closed,False,Documentation gap,Owner 18,3,True
407,30,Medium,Facilities,SEC,SEC 2.1.8,Synthetic finding 407 in facilities category.,4,2024-04-17,2024-05-22,2024-07-14,Closed,False,Documentation gap,Owner 08,2,True
408,30,Medium,Documentation,SEC,SEC 1.5.2,Synthetic finding 408 in documentation category.,4,2024-04-14,2024-05-27,2024-06-02,Closed,True,Documentation gap,Owner 06,2,True
409,31,High,Equipment,ORG,ORG 1.2.3,Synthetic finding 409 in equipment category.,12,2024-12-11,2024-12-27,2025-02-14,Closed,False,Documentation gap,Owner 04,3,True
410,31,Low,Documentation,FLT,FLT 2.2.16A,Synthetic finding 410 in documentation category.,2,2024-12-10,2024-12-31,2025-01-16,Closed,False,Documentation gap,Owner 03,2,True
411,31,Medium,Training,ORG,ORG 2.5.1,Synthetic finding 411 in training category.,6,2024-12-21,,2025-01-29,Open,False,Training gap,Owner 12,3,False
412,31,Low,Documentation,FLT,FLT 2.3.4,Synthetic finding 412 in documentation category.,1,2024-12-16,,2025-01-29,Open,False,Procedure not followed,Owner 01,1,False
413,31,High,Documentation,FLT,FLT 2.2.8,Synthetic finding 413 in documentation category.,16,2024-12-11,,2025-01-24,Open,False,Procedure not followed,Owner 01,4,False
414,32,Low,Operations,CAB,CAB 3.1.7,Synthetic finding 414 in operations category.,5,2021-12-15,2022-03-16,2022-02-10,Closed,True,Training gap,Owner 06,5,False
415,32,Medium,Documentation,CAB,CAB 2.1.1B,Synthetic finding 415 in documentation category.,2,2021-12-22,,2022-01-26,Overdue,False,Procedure not followed,Owner 13,1,False
416,32,Low,Operations,ORG,ORG 1.7.4,Synthetic finding 416 in operations category.,2,2021-12-23,2022-03-07,2022-02-08,Closed,False,Training gap,Owner 11,2,False
417,32,Medium,Training,ORG,ORG 1.7.10,Synthetic finding 417 in training category.,6,2021-12-14,2022-03-05,2022-02-21,Closed,False,Resource limitation,Owner 16,3,False
418,32,Low,Equipment,ORG,ORG 1.5.4,Synthetic finding 418 in equipment category.,2,2021-12-21,,2022-02-06,Overdue,False,Process design,Owner 09,2,False
419,32,Low,Documentation,CAB,CAB 2.2.13,Synthetic finding 419 in documentation category.,3,2021-12-26,2022-03-02,2022-03-01,Closed,False,Training gap,Owner 03,3,False
420,32,High,Human Factors,ORG,ORG 1.5.5,Synthetic finding 420 in human factors category.,16,2021-12-17,2022-02-05,2022-02-16,Closed,False,Training gap,Owner 15,4,True
421,32,Medium,Equipment,CAB,CAB 3.4.12,Synthetic finding 421 in equipment category.,2,2021-12-14,2022-04-06,2022-02-21,Closed,False,Documentation gap,Owner 02,1,False
422,32,Critical,Documentation,ORG,ORG 2.2.4,Synthetic finding 422 in documentation category.,20,2021-12-17,2022-02-22,2022-02-28,Closed,False,Procedure not followed,Owner 16,4,True
423,32,Medium,Documentation,ORG,ORG 1.6.1,Synthetic finding 423 in documentation category.,8,2021-12-26,2022-03-16,2022-02-25,Closed,True,Procedure not followed,Owner 04,4,False
424,32,Low,Facilities,ORG,ORG 4.2.1,Synthetic finding 424 in facilities category.,4,2021-12-15,2022-02-02,2022-03-11,Closed,False,Resource limitation,Owner 05,4,True
425,32,High,Operations,CAB,CAB 2.1.2,Synthetic finding 425 in operations category.,16,2021-12-15,2022-03-26,2022-03-03,Closed,False,Training gap,Owner 13,4,False
426,32,Medium,Training,CAB,CAB 1.11.4,Synthetic finding 426 in training category.,8,2021-12-18,2022-02-24,2022-03-07,Closed,False,Resource limitation,Owner 19,4,True
427,32,Low,Facilities,CAB,CAB 1.11.5,Synthetic finding 427 in facilities category.,3,2021-12-25,,2022-03-18,Overdue,False,Training gap,Owner 14,3,False
428,32,Medium,Human Factors,CAB,CAB 3.1.5,Synthetic finding 428 in human factors category.,4,2021-12-22,2022-02-16,2022-02-24,Closed,False,Procedure not followed,Owner 17,2,True
429,32,Low,Documentation,ORG,ORG 1.5.2,Synthetic finding 429 in documentation category.,2,2021-12-22,2022-03-24,2022-02-26,Closed,False,Resource limitation,Owner 19,2,False
430,32,High,Documentation,ORG,ORG 1.1.4,Synthetic finding 430 in documentation category.,12,2021-12-14,2022-03-11,2022-01-31,Closed,False,Documentation gap,Owner 14,3,False
431,32,Low,Operations,CAB,CAB 1.3.1,Synthetic finding 431 in operations category.,2,2021-12-24,2022-02-24,2022-03-19,Closed,False,Process design,Owner 08,2,True
432,32,Low,Operations,CAB,CAB 3.4.8,Synthetic finding 432 in operations category.,3,2021-12-22,,2022-02-02,Overdue,False,Procedure not followed,Owner 17,3,False
433,32,Critical,Training,CAB,CAB 3.2.12,Synthetic finding 433 in training category.,15,2021-12-14,2022-02-17,2022-02-07,Closed,False,Documentation gap,Owner 08,3,False
434,32,Medium,Documentation,ORG,ORG 2.5.1,Synthetic finding 434 in documentation category.,10,2021-12-14,2022-02-10,2022-01-15,Closed,True,Process design,Owner 16,5,False
435,33,Medium,Equipment,ORG,ORG 2.6.1,Synthetic finding 435 in equipment category.,8,2024-06-10,2024-08-28,2024-08-15,Closed,False,Documentation gap,Owner 17,4,False
436,33,Medium,Training,ORG,ORG 1.5.1,Synthetic finding 436 in training category.,10,2024-06-15,2024-07-21,2024-09-07,Closed,False,Resource limitation,Owner 03,5,True
437,33,High,Operations,ORG,ORG 2.6.2,Synthetic finding 437 in operations category.,16,2024-06-16,2024-07-24,2024-08-21,Closed,False,Documentation gap,Owner 02,4,True
438,33,Medium,Operations,ORG,ORG 3.2.2,Synthetic finding 438 in operations category.,2,2024-06-04,2024-08-17,2024-07-05,Closed,False,Procedure not followed,Owner 08,1,False
439,33,Low,Facilities,ORG,ORG 4.1.3,Synthetic finding 439 in facilities category.,4,2024-06-15,,2024-07-23,Overdue,False,Procedure not followed,Owner 17,4,False
440,33,Low,Documentation,ORG,ORG 3.2.2,Synthetic finding 440 in documentation category.,5,2024-06-05,2024-07-30,2024-08-25,Closed,False,Resource limitation,Owner 15,5,True
441,33,Low,Documentation,ORG,ORG 3.3.4,Synthetic finding 441 in documentation category.,3,2024-06-06,2024-08-25,2024-07-08,Closed,False,Procedure not followed,Owner 18,3,False
442,33,Medium,Operations,ORG,ORG 2.1.7,Synthetic finding 442 in operations category.,4,2024-06-08,2024-06-29,2024-08-16,Closed,False,Documentation gap,Owner 11,2,True
443,33,Low,Equipment,ORG,ORG 3.6.1,Synthetic finding 443 in equipment category.,1,2024-06-17,,2024-09-10,Overdue,False,Procedure not followed,Owner 09,1,False
444,33,Medium,Documentation,ORG,ORG 1.3.1,Synthetic finding 444 in documentation category.,4,2024-06-07,2024-07-26,2024-08-19,Closed,False,Process design,Owner 12,2,True
445,33,Low,Facilities,ORG,ORG 2.5.3,Synthetic finding 445 in facilities category.,3,2024-06-17,2024-07-19,2024-08-17,Closed,False,Training gap,Owner 18,3,True
446,33,Low,Equipment,ORG,ORG 2.1.2,Synthetic finding 446 in equipment category.,4,2024-06-09,2024-07-18,2024-08-25,Closed,False,Process design,Owner 03,4,True
447,33,Medium,Training,ORG,ORG 2.4.3,Synthetic finding 447 in training category.,6,2024-06-15,2024-08-19,2024-08-02,Closed,True,Training gap,Owner 01,3,False
448,33,Medium,Human Factors,ORG,ORG 2.4.4,Synthetic finding 448 in human factors category.,6,2024-06-12,2024-07-24,2024-07-13,Closed,True,Documentation gap,Owner 11,3,False
449,33,Medium,Training,ORG,ORG 2.1.7,Synthetic finding 449 in training category.,8,2024-06-06,2024-06-27,2024-08-22,Closed,False,Training gap,Owner 19,4,True
450,33,Low,Documentation,ORG,ORG 1.7.6,Synthetic finding 450 in documentation category.,3,2024-06-12,2024-07-23,2024-07-24,Closed,False,Procedure not followed,Owner 19,3,True
451,33,Medium,Operations,ORG,ORG 2.1.9,Synthetic finding 451 in operations category.,4,2024-06-06,2024-07-26,2024-08-14,Closed,False,Resource limitation,Owner 16,2,True
452,34,Medium,Equipment,CGO,CGO 3.3.5,Synthetic finding 452 in equipment category.,4,2022-11-10,,2023-01-01,Overdue,False,Resource limitation,Owner 06,2,False
453,34,Medium,Facilities,CGO,CGO 2.1.2,Synthetic finding 453 in facilities category.,10,2022-11-19,2023-01-08,2023-02-06,Closed,False,Training gap,Owner 17,5,True
454,34,High,Equipment,CGO,CGO 3.2.5,Synthetic finding 454 in equipment category.,20,2022-11-18,2023-01-11,2023-01-06,Closed,False,Training gap,Owner 06,5,False
455,34,Critical,Facilities,CGO,CGO 1.4.1,Synthetic finding 455 in facilities category.,15,2022-11-19,2023-01-28,2023-01-05,Closed,False,Documentation gap,Owner 09,3,False
456,34,Low,Equipment,CGO,CGO 1.11.2,Synthetic finding 456 in equipment category.,2,2022-11-19,2022-12-23,2023-01-28,Closed,False,Procedure not followed,Owner 10,2,True
457,34,High,Documentation,ORG,ORG 1.5.1,Synthetic finding 457 in documentation category.,12,2022-11-13,,2023-02-06,Overdue,False,Documentation gap,Owner 01,3,False
458,34,Medium,Operations,ORG,ORG 1.4.2,Synthetic finding 458 in operations category.,10,2022-11-10,,2023-01-13,Overdue,False,Training gap,Owner 10,5,False
459,34,High,Training,CGO,CGO 3.3.1,Synthetic finding 459 in training category.,20,2022-11-15,2023-01-12,2023-01-10,Closed,False,Training gap,Owner 17,5,False
